Importador (prob.),A¤oMes,Pais Origen,Cond. Venta,Kg. Netos,Divisa,Flete Dolares,Seguro D¢lar,Estado dela mercaderia,Cantidad declarada,Precio Unitario en Divisa,Fob total en divisa,Precio Unitario en dolares,Fob total en dolares,Cif Total en dolares,Marca EDIT,Marca Modelo Edit,TIPO,Applicable carrier weight,Segmento
FINNING ARGENTINA SOCIEDAD ANONIMA,201710,EE.UU.,,555,DOLAR ESTADOUNIDENSE,290.11,10.49,             NUEVO SIN USO IMP,1,12827.34,12827.34,12827.34,12827.34,13127.94,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201710,EE.UU.,,450,DOLAR ESTADOUNIDENSE,80.61,10.33,             NUEVO SIN USO IMP,1,12821.34,12821.34,12821.34,12821.34,12912.28,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
TRACK MAR SACI,201711,Italia,,1500.86,DOLAR ESTADOUNIDENSE,74.08,162.39,             NUEVO SIN USO IMP,3,11464.77,34394.31,11464.77,34394.31,34630.78,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201711,Italia,,1000.57,DOLAR ESTADOUNIDENSE,49.39,23.2,             NUEVO SIN USO IMP,2,3139.16,6278.33,3139.16,6278.33,6350.92,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201711,Italia,,1500.86,DOLAR ESTADOUNIDENSE,74.08,4.97,             NUEVO SIN USO IMP,3,3139.16,9417.49,3139.16,9417.49,9496.54,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201711,Italia,,1500.86,DOLAR ESTADOUNIDENSE,74.08,1.06,             NUEVO SIN USO IMP,3,3538.51,10615.53,3538.51,10615.53,10690.67,ITR,ITR UEH270B,Martillo hidraulico,6.0 - 9.0,01. Chicas
TRACK MAR SACI,201711,Italia,,1000.57,DOLAR ESTADOUNIDENSE,49.39,0.15,             NUEVO SIN USO IMP,2,4767.89,9535.78,4767.89,9535.78,9585.32,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
TRACK MAR SACI,201711,Italia,,500.29,DOLAR ESTADOUNIDENSE,24.69,0.01,             NUEVO SIN USO IMP,1,4767.87,4767.87,4767.87,4767.87,4792.57,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
GERONIMO RIZZO S.A.,201711,Italia,,1500,EURO,126.71,122.77,             NUEVO SIN USO IMP,1,9000,9000,10452.6,10452.6,10702.08,MUSTANG,MUSTANG MB1500,Martillo hidraulico,16.0 - 35.0,03. Grande
GRUAS SAN BLAS S A,201711,Francia,,1331,DOLAR ESTADOUNIDENSE,118.25,228.83,             NUEVO SIN USO IMP,5,4535.3,22676.5,4535.3,22676.5,23023.58,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,533.86,DOLAR ESTADOUNIDENSE,102.28,43.21,             NUEVO SIN USO IMP,1,8544.97,8544.97,8544.97,8544.97,8690.46,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,424.37,DOLAR ESTADOUNIDENSE,81.3,34.35,             NUEVO SIN USO IMP,1,6792.47,6792.47,6792.47,6792.47,6908.12,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,1610.88,DOLAR ESTADOUNIDENSE,308.61,130.4,             NUEVO SIN USO IMP,1,25783.98,25783.98,25783.98,25783.98,26222.99,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201711,Japon,,2135.42,DOLAR ESTADOUNIDENSE,409.1,172.86,             NUEVO SIN USO IMP,4,8544.973,34179.89,8544.973,34179.89,34761.85,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,1273.1,DOLAR ESTADOUNIDENSE,243.9,103.05,             NUEVO SIN USO IMP,3,6792.467,20377.4,6792.467,20377.4,20724.35,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,3221.75,DOLAR ESTADOUNIDENSE,617.22,260.79,             NUEVO SIN USO IMP,2,25783.98,51567.96,25783.98,51567.96,52445.97,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,370,DOLAR ESTADOUNIDENSE,52,6,             NUEVO SIN USO IMP,1,8344.34,8344.34,8344.34,8344.34,8402.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,449,DOLAR ESTADOUNIDENSE,58,10,             NUEVO SIN USO IMP,1,12820.34,12820.34,12820.34,12820.34,12888.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,370,DOLAR ESTADOUNIDENSE,51,7,             NUEVO SIN USO IMP,1,8860.34,8860.34,8860.34,8860.34,8918.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,414,DOLAR ESTADOUNIDENSE,55,7,             NUEVO SIN USO IMP,1,9702.34,9702.34,9702.34,9702.34,9764.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,414,DOLAR ESTADOUNIDENSE,54,7,             NUEVO SIN USO IMP,1,9702.34,9702.34,9702.34,9702.34,9763.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,367,DOLAR ESTADOUNIDENSE,55,6,             NUEVO SIN USO IMP,1,8344.34,8344.34,8344.34,8344.34,8405.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,449,DOLAR ESTADOUNIDENSE,60,10,             NUEVO SIN USO IMP,1,12820.34,12820.34,12820.34,12820.34,12890.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,367,DOLAR ESTADOUNIDENSE,52,6,             NUEVO SIN USO IMP,1,8344.34,8344.34,8344.34,8344.34,8402.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,370,DOLAR ESTADOUNIDENSE,51,6,             NUEVO SIN USO IMP,1,8344.34,8344.34,8344.34,8344.34,8401.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,367,DOLAR ESTADOUNIDENSE,52,6,             NUEVO SIN USO IMP,1,8344.34,8344.34,8344.34,8344.34,8402.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,414,DOLAR ESTADOUNIDENSE,54,7,             NUEVO SIN USO IMP,1,9702.34,9702.34,9702.34,9702.34,9763.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,414,DOLAR ESTADOUNIDENSE,54,7,             NUEVO SIN USO IMP,1,9702.34,9702.34,9702.34,9702.34,9763.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201711,EE.UU.,,414,DOLAR ESTADOUNIDENSE,53,7,             NUEVO SIN USO IMP,1,9702.34,9702.34,9702.34,9702.34,9762.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,1610.88,DOLAR ESTADOUNIDENSE,0,0,             NUEVO SIN USO IMP,1,25783.98,25783.98,25783.98,25783.98,25783.98,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201711,Japon,,2135.42,DOLAR ESTADOUNIDENSE,409.02,172.6,             NUEVO SIN USO IMP,4,8544.973,34179.89,8544.973,34179.89,34761.51,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,2135.42,DOLAR ESTADOUNIDENSE,0,0,             NUEVO SIN USO IMP,4,8544.973,34179.89,8544.973,34179.89,34179.89,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,1273.1,DOLAR ESTADOUNIDENSE,243.85,102.9,             NUEVO SIN USO IMP,3,6792.467,20377.4,6792.467,20377.4,20724.15,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,1273.1,DOLAR ESTADOUNIDENSE,0,0,             NUEVO SIN USO IMP,3,6792.467,20377.4,6792.467,20377.4,20377.4,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,3221.75,DOLAR ESTADOUNIDENSE,0,0,             NUEVO SIN USO IMP,2,25783.98,51567.96,25783.98,51567.96,51567.96,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201711,Japon,,533.86,DOLAR ESTADOUNIDENSE,0,0,             NUEVO SIN USO IMP,1,8544.97,8544.97,8544.97,8544.97,8544.97,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,424.37,DOLAR ESTADOUNIDENSE,0,0,             NUEVO SIN USO IMP,1,6792.47,6792.47,6792.47,6792.47,6792.47,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
PATRICIO PALMERO S A I C Y A,201711,Japon,,1610.88,DOLAR ESTADOUNIDENSE,308.55,130.2,             NUEVO SIN USO IMP,1,25783.98,25783.98,25783.98,25783.98,26222.73,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
TRACK MAR SACI,201711,China,,2540,DOLAR ESTADOUNIDENSE,254.13,149.91,             NUEVO SIN USO IMP,1,14750,14750,14750,14750,15154.04,TACSA,TACSA THH3000BJD,Martillo hidraulico,19.0 - 32.0,03. Grande
PATRICIO PALMERO S A I C Y A,201711,Japon,,1640,DOLAR ESTADOUNIDENSE,492,130,             NUEVO SIN USO IMP,1,25600,25600,25600,25600,26222,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201712,EE.UU.,,1218,DOLAR ESTADOUNIDENSE,160,25,             NUEVO SIN USO IMP,1,31652.34,31652.34,31652.34,31652.34,31837.34,CATERPILLAR,CATERPILLAR H115E,Martillo hidraulico,12.0 - 20.0,02. Mediana
TRACK MAR SACI,201712,Italia,,1297,DOLAR ESTADOUNIDENSE,53.16,115.03,             NUEVO SIN USO IMP,1,11449.78,11449.78,11449.78,11449.78,11617.97,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201712,Italia,,1297,DOLAR ESTADOUNIDENSE,53.16,57.52,             NUEVO SIN USO IMP,1,11449.79,11449.79,11449.79,11449.79,11560.47,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
GRUMAQ S R L,201712,Corea Republicana,,2250,DOLAR ESTADOUNIDENSE,950,50,             NUEVO SIN USO IMP,5,4000,20000,4000,20000,21000,HYDROKHAN,HYDROKHAN K750,Martillo hidraulico,10.0 -  16.0,02. Mediana
HEROVIAL SRL,201712,Corea Republicana,,1712,DOLAR ESTADOUNIDENSE,747.97,176.22,             NUEVO SIN USO IMP,2,12300,24600,12300,24600,25524.19,KOMAC,KOMAC TOR13S,Martillo hidraulico,12.0. - 16.0,02. Mediana
HEROVIAL SRL,201712,Corea Republicana,,1712,DOLAR ESTADOUNIDENSE,747.97,88.11,             NUEVO SIN USO IMP,2,4593,9186,4593,9186,10022.08,KOMAC,KOMAC KB250SL,Martillo hidraulico,3.0 - 5.0,01. Chicas
COWDIN S.A.,201712,Corea Republicana,,2457.84,DOLAR ESTADOUNIDENSE,125.61,133.38,             NUEVO SIN USO IMP,4,3305.113,13220.45,3305.113,13220.45,13479.44,EVERDIGM,EVERDIGM EHB04,Martillo hidraulico,2.5 - 6.0,01. Chicas
N/A,201712,Italia,,331.38,EURO,34.33,33.42,             NUEVO SIN USO IMP,1,1725,1725,2031.53,2031.53,2099.28,HAMMER,HAMMER SB150,Martillo hidraulico,1.5 - 5.5,01. Chicas
N/A,201712,Italia,,662.75,EURO,68.65,16.71,             NUEVO SIN USO IMP,2,2335,4670,2749.93,5499.86,5585.22,HAMMER,HAMMER SB250,Martillo hidraulico,3.0 - 8.0,01. Chicas
N/A,201712,Italia,,331.38,EURO,34.33,4.18,             NUEVO SIN USO IMP,1,3150,3150,3709.75,3709.75,3748.26,HAMMER,HAMMER SB400,Martillo hidraulico,6.5 - 13,02. Mediana
FERNANDEZ INSUA S.A.,201712,China,,3500,DOLAR ESTADOUNIDENSE,116.37,10.97,             NUEVO SIN USO IMP,1,10975,10975,10975,10975,11102.34,TACSA,TACSA THH2000BPC,Martillo hidraulico,15.0 - 25.0,02. Mediana
NORDEMAQ SA,201712,Italia,,3600,EURO,1072.08,29.8,             NUEVO SIN USO IMP,2,10500,21000,12507.62,25015.24,26117.12,HAMMER,HAMMER HS1700,Martillo hidraulico,20.0 - 29.0,03. Grande
TRACK MAR SACI,201712,Italia,,458.24,EURO,49.61,58.43,             NUEVO SIN USO IMP,1,9665.13,9665.13,11569.15,11569.15,11677.19,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201712,Italia,,1832.95,EURO,198.43,38.95,             NUEVO SIN USO IMP,4,2646.4,10585.61,3167.74,12670.97,12908.35,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201712,Italia,,458.24,EURO,49.61,6.49,             NUEVO SIN USO IMP,1,3979.53,3979.53,4763.49,4763.49,4819.59,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
IGARRETA MAQUINAS SA,201801,Francia,FOB,2296.72,60,353.14,102.48,             NUEVO SIN USO IMP,2,12383,24766,15044.12,30088.24,30543.86,MONTABERT,MONTABERT XL1700,Martillo hidraulico,18.0 - 28.0,03. Grande
GRUAS SAN BLAS S A,201801,EE.UU.,FOB,1526.16,     DOL,28.12,28,             NUEVO SIN USO IMP,4,693.12,2772.48,693.12,2772.48,2828.6,BOBCAT,BOBCAT HB2380,Martillo hidraulico,6.0 - 15.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201801,Japon,FOB,3221.75,     DOL,616.61,260.52,             NUEVO SIN USO IMP,2,25783.98,51567.96,25783.98,51567.96,52445.09,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201801,Japon,FOB,533.86,     DOL,102.17,43.17,             NUEVO SIN USO IMP,1,8544.97,8544.97,8544.97,8544.97,8690.31,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201801,Japon,FOB,424.37,     DOL,81.22,34.32,             NUEVO SIN USO IMP,1,6792.47,6792.47,6792.47,6792.47,6908.01,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
FONTANILLE SERGIO ENRIQUE,201801,Italia,FOB,1198.64,60,612.77,91.91,             NUEVO SIN USO IMP,1,8698.02,8698.02,10670.74,10670.74,11375.42,IDROMECCANICA,IDROMECCANICA IMI 120M,Martillo hidraulico,14.0 - 22.0,02. Mediana
GRUAS SAN BLAS S A,201801,EE.UU.,FOB,1059,     DOL,56.71,69.77,             NUEVO SIN USO IMP,10,693.12,6931.2,693.12,6931.2,7057.68,BOBCAT,BOBCAT HB2380,Martillo hidraulico,6.0 - 15.0,02. Mediana
GRUAS SAN BLAS S A,201801,Francia,FOB,193,     DOL,131.66,180.44,             NUEVO SIN USO IMP,3,5965.85,17897.55,5965.85,17897.55,18209.65,BOBCAT,BOBCAT HB1180,Martillo hidraulico,4.0 - 5.0,01. Chicas
GRUAS SAN BLAS S A,201801,EE.UU.,FOB,601,     DOL,30.59,41.93,             NUEVO SIN USO IMP,6,693.12,4158.72,693.12,4158.72,4231.24,BOBCAT,BOBCAT HB2380,Martillo hidraulico,6.0 - 15.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,410.95,     DOL,51,7,             NUEVO SIN USO IMP,1,8881.34,8881.34,8881.34,8881.34,8939.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,476,     DOL,57,10,             NUEVO SIN USO IMP,1,13643.34,13643.34,13643.34,13643.34,13710.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,336,     DOL,54,7,             NUEVO SIN USO IMP,1,8881.34,8881.34,8881.34,8881.34,8942.34,CATERPILLAR,CATERPILLAR H55ES,Martillo hidraulico,2.5 - 5.8,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,476,     DOL,57,10,             NUEVO SIN USO IMP,1,13643.34,13643.34,13643.34,13643.34,13710.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,450.87,     DOL,51,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10385.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,476,     DOL,61,10,             NUEVO SIN USO IMP,1,13643.34,13643.34,13643.34,13643.34,13714.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,476,     DOL,61,10,             NUEVO SIN USO IMP,1,13643.34,13643.34,13643.34,13643.34,13714.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,450.87,     DOL,51,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10385.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,476,     DOL,61,10,             NUEVO SIN USO IMP,1,13643.34,13643.34,13643.34,13643.34,13714.34,CATERPILLAR,CATERPILLAR H80ES,Martillo hidraulico,6.0 - 10.0,02. Mediana
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,450.87,     DOL,51,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10385.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,451,     DOL,52,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10386.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,450.87,     DOL,51,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10385.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,451,     DOL,51,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10385.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,450.87,     DOL,48,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10382.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
FINNING ARGENTINA SOCIEDAD ANONIMA,201801,EE.UU.,FOB,450.87,     DOL,51,8,             NUEVO SIN USO IMP,1,10326.34,10326.34,10326.34,10326.34,10385.34,CATERPILLAR,CATERPILLAR H65ES,Martillo hidraulico,2.9 - 8.9,01. Chicas
REPAS S A,201801,Corea Republicana,FOB,1980.51,     DOL,446.83,75.35,             NUEVO SIN USO IMP,3,4850,14550,4850,14550,15072.18,SOOSAN,SOOSAN SB43 TS P,Martillo hidraulico,6.0 - 9.0,01. Chicas
REPAS S A,201801,Corea Republicana,FOB,5828.91,     DOL,1245.81,210.08,             NUEVO SIN USO IMP,7,3104.7,21732.9,3104.7,21732.9,23188.79,SOOSAN,SOOSAN SB35 TS P,Martillo hidraulico,3.0 - 5.5,01. Chicas
REPAS S A,201801,Corea Republicana,FOB,2041.76,     DOL,460.65,77.68,             NUEVO SIN USO IMP,1,15000,15000,15000,15000,15538.33,SOOSAN,SOOSAN SB81,Martillo hidraulico,18.0 - 26.0,03. Grande
PATRICIO PALMERO S A I C Y A,201801,Japon,FOB,3221.75,     DOL,616.61,260.52,             NUEVO SIN USO IMP,2,25783.98,51567.96,25783.98,51567.96,52445.09,NPK,NPK GH7,Martillo hidraulico,14.0 - 21.0,02. Mediana
PATRICIO PALMERO S A I C Y A,201801,Japon,FOB,501.98,     DOL,102.17,43.17,             NUEVO SIN USO IMP,1,8544.97,8544.97,8544.97,8544.97,8690.31,NPK,NPK PH3,Martillo hidraulico,4.0 - 9.0,01. Chicas
PATRICIO PALMERO S A I C Y A,201801,Japon,FOB,424.37,     DOL,81.22,34.32,             NUEVO SIN USO IMP,1,6792.47,6792.47,6792.47,6792.47,6908.01,NPK,NPK PH2,Martillo hidraulico,3.0 - 5.5,01. Chicas
TECMACO INTEGRAL  S A,201801,China,FOB,1590,     DOL,177.14,8.86,             NUEVO SIN USO IMP,3,3100,9300,3100,9300,9486,GIANT,GIANT GT40,Martillo hidraulico,6.0  - 9.0,01. Chicas
ROSARIO MAQUINAS VIALES S.R.L.,201801,Italia,FOB,2022,60,264.57,85.2,             NUEVO SIN USO IMP,6,3684.52,22107.11,4563.64,27381.84,27731.61,SOCOMEC,SOCOMEC DMS 210,Martillo hidraulico,2.8 - 4.5,01. Chicas
ROSARIO MAQUINAS VIALES S.R.L.,201801,Italia,FOB,1011,60,132.29,42.6,             NUEVO SIN USO IMP,3,4492.08,13476.25,5563.89,16691.67,16866.56,SOCOMEC,SOCOMEC DMS 300,Martillo hidraulico,4.5 - 6.0,01. Chicas
ROSARIO MAQUINAS VIALES S.R.L.,201801,Italia,FOB,337,60,44.1,14.2,             NUEVO SIN USO IMP,1,4845.39,4845.39,6001.5,6001.5,6059.8,SOCOMEC,SOCOMEC DMS 400,Martillo hidraulico,6.0 - 8.5,01. Chicas
HEROVIAL SRL,201801,Corea Republicana,FOB,1563.33,     DOL,400,90.33,             NUEVO SIN USO IMP,2,3800,7600,3800,7600,8090.33,KOMAC,KOMAC KB200SL,Martillo hidraulico,1.2 - 4.0,01. Chicas
GRUAS SAN BLAS S A,201802,Francia,FOB,722,-,206.6,228.83,             NUEVO SIN USO IMP,5,4535.3,22676.5,4535.3,22676.5,23111.93,BOBCAT,BOBCAT HB980,Martillo hidraulico,3.0 - 7.5,01. Chicas
IGARRETA MAQUINAS SA,201802,Francia,FOB,1153.46,-,179.4,85.28,             NUEVO SIN USO IMP,2,3167.4,6334.8,8438.1,16876.2,17140.88,MONTABERT,MONTABERT SC22,Martillo hidraulico,2.2 - 5.3,01. Chicas
RUSCONI ALDO FLAVIO RUSCONI OS,201802,Japon,FOB,295.49,-,348.24,14.98,             NUEVO SIN USO IMP,2,5774,11548,5774,11548,11911.22,FURUKAWA,FURUKAWA F6BHL,Martillo hidraulico,3.5 - 10.0,01. Chicas
TRACK MAR SACI,201802,Italia,FOB,1952.6,-,106.48,127.85,             NUEVO SIN USO IMP,2,7306.84,14613.68,6300.53,12601.06,12835.39,ITR,ITR UEH1000PSA,Martillo hidraulico,12.0  - 23.0,02. Mediana
TRACK MAR SACI,201802,Italia,FOB,976.3,-,53.24,63.93,             NUEVO SIN USO IMP,1,11508.28,11508.28,6300.53,6300.53,6417.7,ITR,ITR UEH1300PSA,Martillo hidraulico,17.0 - 25.0,03. Grande
TRACK MAR SACI,201802,Italia,FOB,976.3,-,53.24,63.93,             NUEVO SIN USO IMP,1,16186.69,16186.69,6300.53,6300.53,6417.7,ITR,ITR UEH1700PSA,Martillo hidraulico,16.0 - 34.0,03. Grande
TRACK MAR SACI,201802,Italia,FOB,1952.6,-,106.48,127.85,             NUEVO SIN USO IMP,2,3151.07,6302.15,6300.53,12601.06,12835.39,ITR,ITR UEH190PCS,Martillo hidraulico,2.0 - 5.0,01. Chicas
TRACK MAR SACI,201802,Italia,FOB,1952.6,-,106.48,127.85,             NUEVO SIN USO IMP,2,4785.98,9571.96,6300.53,12601.06,12835.39,ITR,ITR UEH400PSA,Martillo hidraulico,5.0 - 11.0,01. Chicas
TECMACO INTEGRAL  S A,201803,Corea Republicana,FOB,12040.8,DOLAR ESTADOUNIDENSE,440,50,NUEVO SIN USO IMPORTADO,2,6920,13840,6920,13840,14330,POQUTEC,POQUTEC PBV100,Martillo hidraulico,9.0 - 16.0,02. Mediana
TECMACO INTEGRAL  S A,201803,Corea Republicana,FOB,30249.9,DOLAR ESTADOUNIDENSE,440,50,NUEVO SIN USO IMPORTADO,3,11590,34770,11590,34770,35260,POQUTEC,POQUTEC PBV180A,Martillo hidraulico,18.0 - 25.0,03. Grande
ESTELAR RESOURCES LIMITED,201803,EE.UU.,FOB,11667.14,DOLAR ESTADOUNIDENSE,54.84,134.65,NUEVO SIN USO IMPORTADO,1,13410.51,13410.51,13410.51,13410.51,13600,CATERPILLAR,CATERPILLAR H65E,Martillo hidraulico,2.9 - 8.9,01. Chicas
NORDEMAQ SA,201803,Italia,FOB,12886.11,EURO,291.66,8.11,NUEVO SIN USO IMPORTADO,5,2400,12000,2962.324,14811.62,15111.39,HAMMER,HAMMER HS250,Martillo hidraulico,3.0 - 4.5,01. Chicas
